"Material","Month","Stock On Hand","Val.stk(I)","Consumption","Tot. usage"
"019329","10.2013","0.00","PC","0","PC"
"019329","11.2013","0.00","PC","0","PC"
"019329","12.2013","0.00","PC","0","PC"
"019329","01.2014","0.00","PC","0","PC"
"019329","02.2014","0.00","PC","0","PC"
"019329","03.2014","0.00","PC","0","PC"
"019329","04.2014","0.00","PC","0","PC"
"019329","05.2014","0.00","PC","0","PC"
"019329","06.2014","0.00","PC","0","PC"
"019329","07.2014","0.00","PC","0","PC"
"019329","08.2014","0.00","PC","0","PC"
"019329","09.2014","0.00","PC","0","PC"
"019329","10.2014","0.00","PC","0","PC"
"019329","11.2014","0.00","PC","0","PC"
"019329","12.2014","0.00","PC","0","PC"
"019329","01.2015","0.00","PC","0","PC"
"019329","02.2015","0.00","PC","0","PC"
"019329","03.2015","0.00","PC","0","PC"
"019329","04.2015","0.00","PC","0","PC"
"019329","05.2015","0.00","PC","0","PC"
"019329","06.2015","0.00","PC","0","PC"
"019329","07.2015","0.00","PC","0","PC"
"019329","08.2015","0.00","PC","0","PC"
"019329","09.2015","0.00","PC","0","PC"
"019329","10.2015","0.00","PC","0","PC"
"019329","11.2015","0.00","PC","0","PC"
"019329","12.2015","0.00","PC","0","PC"
"019329","01.2016","0.00","PC","0","PC"
"019329","02.2016","0.00","PC","0","PC"
"019329","03.2016","0.00","PC","0","PC"
"019329","04.2016","0.00","PC","0","PC"
"019329","05.2016","0.00","PC","0","PC"
"019329","06.2016","0.00","PC","0","PC"
"019329","07.2016","0.00","PC","0","PC"
"019329","08.2016","0.00","PC","0","PC"
"019329","09.2016","0.00","PC","0","PC"
"019329","10.2016","0.00","PC","0","PC"
"019329","11.2016","0.00","PC","0","PC"
"019329","12.2016","0.00","PC","0","PC"
"019329","01.2017","0.00","PC","0","PC"
"019329","02.2017","0.00","PC","0","PC"
"019329","03.2017","0.00","PC","0","PC"
"019329","04.2017","0.00","PC","0","PC"
"019329","05.2017","6.00","PC","0","PC"
"019329","06.2017","1,214.00","PC","425","PC"
"019329","07.2017","1,456.00","PC","532","PC"
"019329","08.2017","1,078.00","PC","597","PC"
"019329","09.2017","1,080.00","PC","692","PC"
"019329","10.2017","1,190.00","PC","519","PC"
"019329","11.2017","623.00","PC","580","PC"
"019329","12.2017","1,166.00","PC","642","PC"
"019329","01.2018","893.00","PC","730","PC"
"019329","02.2018","567.00","PC","372","PC"
"019329","03.2018","438.00","PC","317","PC"
"019329","04.2018","887.00","PC","455","PC"
"019329","05.2018","1,147.00","PC","777","PC"
"019329","06.2018","1,638.00","PC","903","PC"
"019329","07.2018","1,450.00","PC","911","PC"
"019329","08.2018","1,257.00","PC","850","PC"
"019329","09.2018","941.00","PC","768","PC"
"019329","10.2018","988.00","PC","750","PC"
"019329","11.2018","1,042.00","PC","662","PC"
"019329","12.2018","901.00","PC","679","PC"
"019329","01.2019","1,540.00","PC","1,002","PC"
"019329","02.2019","398.00","PC","299","PC"
"019329","03.2019","968.00","PC","623","PC"
"019329","04.2019","1,749.00","PC","966","PC"
"019329","05.2019","1,676.00","PC","1,114","PC"
"019329","06.2019","1,387.00","PC","1,049","PC"
"019329","07.2019","1,086.00","PC","855","PC"
"019329","08.2019","880.00","PC","674","PC"
"019329","09.2019","666.00","PC","631","PC"
"019329","10.2019","767.00","PC","711","PC"
"019329","11.2019","1,277.00","PC","891","PC"
"019329","12.2019","1,818.00","PC","878","PC"
"019329","01.2020","1,430.00","PC","672","PC"
"019329","02.2020","349.00","PC","249","PC"
"019329","03.2020","825.00","PC","396","PC"
"019329","04.2020","823.00","PC","583","PC"
"019329","05.2020","855.00","PC","559","PC"
"019329","06.2020","883.00","PC","527","PC"
"019329","07.2020","1,001.00","PC","573","PC"
"019329","08.2020","782.00","PC","573","PC"
"019329","09.2020","1,004.00","PC","649","PC"
"019329","10.2020","937.00","PC","625","PC"
"019329","11.2020","1,068.00","PC","726","PC"
"019329","12.2020","1,656.00","PC","813","PC"
"019329","01.2021","1,690.00","PC","1,044","PC"
"019329","02.2021","722.00","PC","501","PC"
"019329","03.2021","817.00","PC","549","PC"
"019329","04.2021","1,197.00","PC","637","PC"
"019329","05.2021","1,148.00","PC","733","PC"
"019329","06.2021","917.00","PC","752","PC"
"019329","07.2021","1,001.00","PC","708","PC"
"019329","08.2021","935.00","PC","690","PC"
"019329","09.2021","783.00","PC","611","PC"
"019329","10.2021","939.00","PC","772","PC"
"019329","11.2021","767.00","PC","730","PC"
